,baseline (wearable only),augmented (+ cortisol)
acc_mean,1.4326262003696981,1.4507537631065104
acc_var,1.1089354146138655,1.6222696280584847
cort_auc,,-0.0928345058617614
cort_mean,,-0.08264633197097125
cort_slope,,3.099872767400967
eda_mean,-0.2762450884645225,-0.33635332014692765
eda_std,-0.5175123681938048,-0.25730802013114895
enmo,-2.1363497020914317,-2.1406190044888644
hr_mean,3.7209116676761136,4.163828359392025
hr_std,0.03873011693073261,0.06732132146600206
pnn50,1.7439608709982248,1.4401738819937713
rmssd,-0.3832993229515807,0.06911909017081297
scl_mean,-0.2719966725012816,-0.337251266859897
scl_slope,0.378023036494875,0.3502523393947206
scr_auc,0.7898862896777735,0.6232385341441711
scr_mean_amp,0.1757081268107291,-0.04906536973122024
scr_rate,1.4569563108884647,1.261232401147896
sdnn,0.6593156613313981,0.703182921576506
temp_mean,-0.7990644920712338,-0.772232854075759
temp_slope,-2.1302017270612916,-1.4573852290574303
temp_std,-1.3125542737903098,-1.1392809836350477
